"Horas_Estudio","Asistencia","Involucramiento_Parental","Acceso_Recursos","Actividades_Extracurriculares","Horas_Sueno","Puntuaciones_Previas","Nivel_Motivacion","Acceso_Internet","Sesiones_Tutoria","Ingresos_Familiares","Calidad_Profesor","Tipo_Escuela","Influencia_Companeros","Actividad_Fisica","Discapacidades_Aprendizaje","Nivel_Educativo_Padres","Distancia_Hogar","Sexo","Puntuacion_Examen"
19,99,"Medio","Alto","No",6,84,"Media","Si",1,"Medio","Alta","Publica","Neutral",3,"No","Secundaria","Cerca","Masculino",72
20,74,"Medio","Alto","No",8,89,"Baja","Si",1,"Medio","Media","Publica","Negativa",2,"No","Universitaria","Moderado","Femenino",66
11,78,"Alto","Medio","Si",8,100,"Alta","Si",1,"Bajo","Media","Publica","Neutral",3,"No","Secundaria","Moderado","Masculino",66
17,65,"Bajo","Alto","Si",5,75,"Media","Si",2,"Bajo","Media","Publica","Positiva",3,"No","Secundaria","Cerca","Femenino",63
21,62,"Alto","Bajo","Si",6,54,"Alta","Si",0,"Alto","Alta","Publica","Positiva",3,"No","Postgrado","Lejos","Masculino",64
13,91,"Bajo","Medio","No",6,90,"Media","Si",1,"Alto","Media","Publica","Negativa",2,"Si","Secundaria","Moderado","Femenino",65
22,83,"Alto","Alto","Si",6,94,"Media","Si",0,"Alto","Media","Publica","Neutral",2,"No","Universitaria","Moderado","Masculino",71
16,90,"Medio","Medio","No",4,58,"Media","Si",1,"Bajo","Media","Publica","Neutral",3,"No","Secundaria","Moderado","Femenino",66
18,66,"Alto","Alto","No",4,51,"Baja","Si",2,"Bajo","Media","Privada","Neutral",2,"No","Universitaria","Cerca","Masculino",64
16,83,"Bajo","Medio","No",6,57,"Media","Si",0,"Alto","Baja","Publica","Positiva",4,"Si","Secundaria","Cerca","Femenino",63
31,70,"Medio","Alto","Si",7,66,"Media","Si",1,"Alto","Media","Publica","Negativa",3,"No","Universitaria","Cerca","Masculino",69
20,69,"Medio","Medio","Si",8,96,"Media","Si",2,"Medio","Alta","Publica","Positiva",3,"No","Secundaria","Cerca","Masculino",67
14,60,"Alto","Medio","No",5,50,"Media","Si",2,"Medio","Media","Publica","Neutral",3,"No","Universitaria",NA,"Femenino",61
25,65,"Alto","Medio","No",5,90,"Media","Si",2,"Medio","Media","Publica","Positiva",3,"No","Universitaria","Moderado","Femenino",68
13,72,"Bajo","Medio","No",6,93,"Baja","Si",1,"Bajo","Media","Publica","Negativa",3,"No","Secundaria","Cerca","Masculino",61
21,65,"Medio","Bajo","Si",7,91,"Baja","Si",2,"Medio","Alta","Publica","Positiva",3,"No","Secundaria","Lejos","Femenino",64
8,99,"Medio","Medio","No",9,54,"Baja","Si",2,"Bajo","Media","Publica","Neutral",5,"No","Postgrado","Cerca","Femenino",67
12,72,"Bajo","Medio","Si",8,84,"Media","Si",1,"Bajo","Media","Publica","Positiva",5,"No","Secundaria","Cerca","Femenino",63
21,65,"Bajo","Medio","Si",6,98,"Baja","Si",1,"Medio","Alta","Publica","Negativa",4,"No","Secundaria","Cerca","Masculino",64
24,68,"Alto","Medio","No",8,56,"Baja","Si",3,"Alto","Alta","Publica","Neutral",1,"No","Universitaria","Cerca","Masculino",67
21,84,"Medio","Medio","Si",6,52,"Baja","Si",1,"Medio","Alta","Publica","Neutral",2,"Si","Universitaria","Lejos","Femenino",65
19,63,"Bajo","Alto","No",7,94,"Media","Si",1,"Medio","Media","Privada","Positiva",3,"No","Secundaria","Moderado","Masculino",64
18,94,"Medio","Alto","Si",7,82,"Media","Si",3,"Medio","Media","Privada","Negativa",2,"Si","Universitaria","Cerca","Masculino",70
11,98,"Medio","Medio","Si",9,82,"Baja","Si",1,"Medio","Media","Privada","Positiva",3,"No","Postgrado","Lejos","Masculino",68
16,70,"Medio","Medio","Si",8,98,"Media","Si",2,"Medio","Media","Publica","Positiva",3,"No","Secundaria","Moderado","Masculino",65
17,78,"Medio","Medio","Si",6,88,"Media","Si",1,"Medio","Alta","Privada","Positiva",3,"No","Universitaria","Cerca","Femenino",68
26,61,"Medio","Bajo","Si",6,70,"Media","Si",2,"Bajo","Media","Publica","Positiva",3,"No","Secundaria","Moderado","Femenino",64
22,86,"Bajo","Medio","Si",7,72,"Baja","Si",3,"Bajo","Alta","Publica","Positiva",2,"No","Secundaria","Moderado","Masculino",68
9,77,"Medio","Medio","No",5,57,"Media","Si",2,"Medio","Alta","Publica","Neutral",3,"No","Secundaria","Cerca","Masculino",63
22,71,"Bajo","Medio","Si",7,65,"Baja","Si",1,"Medio","Baja","Publica","Positiva",4,"No","Universitaria","Moderado","Masculino",64
18,68,"Alto","Medio","No",7,72,"Media","Si",0,"Medio","Media","Publica","Neutral",3,"No","Universitaria","Cerca","Masculino",64
16,86,"Bajo","Medio","Si",8,63,"Media","Si",2,"Medio","Media","Publica","Positiva",4,"No","Secundaria","Cerca","Masculino",67
24,77,"Alto","Bajo","No",8,96,"Media","Si",0,"Medio","Media","Publica","Neutral",3,"No","Secundaria","Cerca","Femenino",67
26,67,"Medio","Alto","Si",7,51,"Baja","Si",2,"Alto","Alta","Privada","Neutral",4,"Si","Postgrado","Lejos","Femenino",66
26,88,"Medio","Alto","Si",5,79,"Media","Si",1,"Bajo","Alta","Privada","Positiva",4,"No","Universitaria","Moderado","Masculino",72
15,83,"Medio","Alto","No",5,89,"Baja","No",1,"Medio","Alta","Publica","Neutral",2,"Si","Secundaria","Cerca","Femenino",65
18,94,"Medio","Medio","Si",6,87,"Alta","Si",1,"Medio","Media","Publica","Positiva",4,"No","Secundaria","Cerca","Masculino",71
22,65,"Alto","Bajo","No",8,82,"Media","Si",2,"Medio","Alta","Publica","Positiva",1,"No","Postgrado","Cerca","Femenino",66
26,91,"Medio","Bajo","Si",8,71,"Media","Si",0,"Bajo","Media","Privada","Neutral",3,"No","Secundaria","Moderado","Masculino",68
17,87,"Medio","Medio","No",7,96,"Media","Si",1,"Alto","Media","Publica","Negativa",5,"No","Postgrado","Cerca","Femenino",70
19,65,"Medio","Medio","Si",10,66,"Baja","Si",0,"Bajo","Media","Publica","Positiva",3,"No","Secundaria","Moderado","Masculino",62
13,88,"Bajo","Alto","Si",9,88,"Alta","Si",2,"Bajo","Alta","Privada","Negativa",4,"No","Postgrado","Lejos","Masculino",68
13,78,"Medio","Alto","Si",9,96,"Alta","Si",2,"Bajo","Media","Publica","Neutral",3,"No","Universitaria","Moderado","Masculino",67
25,98,"Bajo","Alto","Si",8,56,"Media","No",0,"Medio","Alta","Privada","Neutral",3,"No","Postgrado","Cerca","Masculino",71
28,66,"Medio","Alto","Si",8,97,"Media","Si",0,"Medio","Media","Publica","Neutral",2,"No","Secundaria","Cerca","Masculino",68
20,86,"Medio","Medio","Si",8,89,"Media","Si",1,"Bajo","Media","Publica","Negativa",3,"No","Postgrado","Cerca","Masculino",69
26,75,"Bajo","Alto","Si",4,81,"Alta","Si",3,"Medio","Alta","Privada","Positiva",2,"No","Secundaria","Moderado","Masculino",70
22,98,"Medio","Alto","No",5,69,"Baja","No",1,"Bajo","Alta","Publica","Negativa",4,"No","Secundaria","Moderado","Femenino",69
16,73,"Medio","Medio","No",7,95,"Media","Si",1,"Bajo","Media","Publica","Negativa",4,"No","Universitaria","Cerca","Masculino",65
22,98,"Medio","Bajo","Si",7,52,"Media","No",3,"Medio","Media","Publica","Positiva",3,"No","Universitaria","Cerca","Femenino",70
29,96,"Medio","Bajo","Si",7,72,"Media","Si",1,"Bajo","Media","Publica","Positiva",3,"No","Secundaria","Moderado","Masculino",71
20,71,"Medio","Medio","Si",7,88,"Media","Si",1,"Bajo","Baja","Publica","Neutral",4,"No","Universitaria","Cerca","Femenino",65
29,92,"Bajo","Medio","No",4,91,"Media","Si",2,"Medio","Media","Publica","Negativa",1,"No","Postgrado","Cerca","Femenino",72
4,100,"Alto","Alto","Si",8,60,"Alta","Si",0,"Medio","Alta","Privada","Positiva",4,"No","Universitaria","Moderado","Masculino",69
25,70,"Medio","Medio","No",7,52,"Media","Si",1,"Medio","Media","Publica","Positiva",3,"No","Postgrado","Cerca","Femenino",66
21,77,"Bajo","Medio","Si",7,90,"Media","Si",4,"Medio","Media","Privada","Neutral",3,"No","Postgrado","Moderado","Masculino",68
18,81,"Alto","Bajo","Si",8,71,"Media","Si",0,"Medio","Media","Publica","Neutral",3,"No","Secundaria","Moderado","Femenino",65
21,72,"Medio","Medio","Si",5,57,"Media","Si",1,"Alto","Media","Publica","Neutral",5,"Si","Universitaria","Moderado","Masculino",64
8,61,"Medio","Medio","Si",7,54,"Media","Si",1,"Alto","Media","Publica","Positiva",3,"No","Universitaria","Cerca","Masculino",60
19,69,"Medio","Alto","Si",7,82,"Alta","Si",1,"Bajo","Media","Publica","Negativa",2,"No","Secundaria","Cerca","Masculino",65
22,71,"Alto","Medio","No",6,79,"Alta","Si",1,"Bajo","Baja","Publica","Positiva",3,"No","Secundaria","Cerca","Masculino",66
29,78,"Alto","Alto","Si",4,93,"Baja","Si",5,"Medio","Alta","Publica","Neutral",3,"No","Universitaria","Cerca","Masculino",74
17,67,"Medio","Medio","Si",5,52,"Alta","Si",2,"Medio","Media","Privada","Negativa",3,"No","Secundaria","Lejos","Femenino",62
15,95,"Medio","Medio","No",7,93,"Media","Si",2,"Bajo","Media","Publica","Positiva",4,"No","Universitaria","Moderado","Masculino",70
17,88,"Medio","Alto","Si",7,94,"Baja","Si",0,"Medio","Media","Publica","Neutral",3,"No","Secundaria","Cerca","Masculino",69
25,63,"Medio","Alto","Si",7,72,"Media","Si",3,"Medio","Alta","Privada","Negativa",4,"No","Universitaria","Lejos","Masculino",67
22,86,"Bajo","Bajo","No",6,54,"Media","Si",2,"Medio","Media","Publica","Neutral",0,"No","Secundaria","Moderado","Masculino",64
17,86,"Medio","Alto","No",5,97,"Alta","Si",3,"Alto","Media","Publica","Neutral",3,"No","Universitaria","Cerca","Masculino",71
23,98,"Medio","Bajo","Si",7,54,"Baja","Si",0,"Medio","Media","Publica","Negativa",3,"No","Universitaria","Cerca","Femenino",68
21,60,"Alto","Medio","No",7,80,"Media","Si",0,"Medio","Alta","Publica","Neutral",4,"Si","Universitaria","Cerca","Masculino",64
26,70,"Medio","Bajo","Si",8,75,"Media","Si",1,"Medio","Baja","Privada","Neutral",4,"Si","Secundaria","Lejos","Femenino",63
16,97,"Medio","Medio","Si",6,92,"Baja","Si",0,"Alto","Media","Privada","Positiva",4,"No","Universitaria","Cerca","Masculino",71
18,97,"Alto","Medio","Si",4,75,"Baja","Si",0,"Bajo","Media","Publica","Positiva",3,"No","Secundaria","Moderado","Masculino",69
18,89,"Alto","Medio","Si",4,73,"Media","Si",3,"Alto","Media","Privada","Positiva",2,"No","Universitaria","Cerca","Femenino",100
11,91,"Medio","Medio","No",6,94,"Media","Si",3,"Medio","Media","Publica","Neutral",3,"No","Universitaria","Moderado","Masculino",68
22,64,"Bajo","Medio","No",7,98,"Baja","No",1,"Medio","Media","Publica","Negativa",3,"No","Secundaria","Cerca","Masculino",62
22,81,"Medio","Medio","Si",7,77,"Baja","Si",2,"Medio","Media","Publica","Positiva",3,"No","Postgrado","Lejos","Femenino",68
20,69,"Alto","Alto","Si",6,73,"Media","Si",2,"Bajo","Media","Privada","Positiva",3,"No","Secundaria","Lejos","Masculino",66
19,67,"Bajo","Medio","No",5,92,"Alta","Si",0,"Medio","Media","Publica","Positiva",3,"No","Universitaria","Cerca","Masculino",64
12,92,"Medio","Medio","No",4,92,"Alta","Si",2,"Medio","Alta","Publica","Neutral",3,"Si","Secundaria","Moderado","Masculino",67
17,65,"Medio","Alto","Si",8,66,"Media","Si",1,"Alto","Alta","Publica","Neutral",4,"Si","Postgrado","Moderado","Femenino",65
18,79,"Medio","Medio","Si",7,79,"Media","Si",0,"Bajo","Alta","Privada","Neutral",3,"No","Universitaria","Lejos","Masculino",65
15,98,"Alto","Medio","No",6,58,"Alta","Si",0,"Bajo","Alta","Publica","Positiva",3,"No","Universitaria","Cerca","Masculino",69
19,67,"Medio","Medio","No",5,82,"Alta","Si",1,"Bajo","Baja","Privada","Negativa",3,"No","Secundaria","Cerca","Masculino",63
22,99,"Medio","Bajo","Si",6,92,"Baja","Si",3,"Medio","Media","Publica","Negativa",4,"No","Postgrado","Moderado","Masculino",72
31,100,"Medio","Medio","No",7,59,"Media","Si",2,"Alto","Alta","Publica","Positiva",5,"No","Postgrado","Moderado","Masculino",76
21,82,"Medio","Alto","Si",7,66,"Alta","Si",3,"Bajo","Media","Publica","Positiva",3,"Si","Universitaria","Cerca","Femenino",69
22,67,"Medio","Medio","Si",7,72,"Alta","Si",3,"Bajo","Alta","Publica","Positiva",2,"No","Postgrado","Moderado","Femenino",67
20,73,"Alto","Medio","Si",9,92,"Media","Si",2,"Medio","Alta","Publica","Positiva",3,"No","Universitaria","Cerca","Masculino",69
8,77,"Alto","Medio","Si",6,87,"Media","Si",0,"Bajo","Media","Publica","Neutral",2,"No","Secundaria","Moderado","Masculino",63
20,72,"Medio","Medio","No",9,66,"Media","Si",3,"Bajo","Alta","Privada","Positiva",3,"No","Postgrado","Cerca","Masculino",67
20,71,"Bajo","Alto","Si",7,62,"Alta","Si",2,"Medio","Media","Publica","Negativa",5,"No","Universitaria","Cerca","Masculino",66
35,99,"Alto","Alto","Si",7,85,"Baja","Si",2,"Medio","Alta","Privada","Neutral",2,"No","Postgrado","Cerca","Femenino",79
19,66,"Medio","Medio","No",8,74,"Media","Si",1,"Alto","Media","Publica","Neutral",3,"No","Secundaria","Cerca","Femenino",64
22,89,"Alto","Alto","Si",6,80,"Media","Si",1,"Alto","Alta","Publica","Positiva",3,"No","Secundaria","Cerca","Femenino",73
20,60,"Bajo","Alto","No",7,82,"Alta","Si",2,"Bajo","Alta","Publica","Positiva",4,"Si","Secundaria","Cerca","Masculino",63
13,84,"Medio","Medio","No",5,78,"Media","Si",1,"Bajo","Alta","Publica","Positiva",2,"No","Secundaria","Cerca","Masculino",65
27,97,"Bajo","Alto","Si",8,81,"Media","Si",0,"Alto","Media","Publica","Positiva",5,"No","Secundaria","Cerca","Femenino",73
25,72,"Alto","Alto","Si",8,94,"Baja","Si",2,"Bajo","Media","Privada","Positiva",4,"No","Universitaria","Moderado","Femenino",70
25,67,"Alto","Medio","No",9,93,"Alta","Si",2,"Bajo","Alta","Publica","Positiva",3,"Si","Secundaria","Cerca","Femenino",68
15,86,"Medio","Medio","Si",7,57,"Media","Si",1,"Medio","Media","Publica","Negativa",3,"No","Universitaria","Cerca","Masculino",65
28,89,"Bajo","Alto","Si",9,79,"Alta","Si",0,"Bajo","Media","Privada","Positiva",1,"No","Universitaria","Moderado","Femenino",71
12,88,"Bajo","Medio","No",6,72,"Baja","Si",2,"Medio","Media","Publica","Positiva",2,"No","Universitaria","Lejos","Masculino",64
24,73,"Medio","Alto","Si",8,64,"Media","Si",4,"Alto","Media","Privada","Neutral",3,"Si","Universitaria","Moderado","Masculino",68
33,70,"Medio","Medio","Si",6,82,"Baja","Si",1,"Bajo","Alta","Publica","Neutral",4,"No","Universitaria","Cerca","Masculino",69
14,98,"Medio","Medio","No",7,76,"Media","Si",0,"Medio","Alta","Privada","Positiva",4,"No","Universitaria","Moderado","Femenino",69
17,97,"Medio","Medio","No",8,89,"Media","Si",1,"Bajo",NA,"Publica","Neutral",4,"No","Secundaria","Lejos","Masculino",69
21,78,"Medio","Medio","Si",10,55,"Media","Si",1,"Alto","Baja","Privada","Positiva",2,"No","Universitaria","Cerca","Masculino",67
17,94,"Bajo","Medio","Si",8,65,"Baja","Si",4,"Medio","Media","Publica","Neutral",6,"No","Secundaria","Lejos","Femenino",68
11,78,"Medio","Alto","Si",8,51,"Media","Si",2,"Bajo","Media","Publica","Neutral",3,"No","Postgrado","Cerca","Masculino",64
20,77,"Medio","Medio","No",6,87,"Baja","Si",0,"Bajo","Alta","Publica","Positiva",4,"No","Secundaria","Cerca","Femenino",66
14,66,"Alto","Bajo","No",7,96,"Media","Si",3,"Bajo","Alta","Publica","Negativa",3,"No","Secundaria","Cerca","Masculino",63
23,77,"Medio","Medio","Si",7,79,"Media","Si",0,"Bajo","Alta","Publica","Neutral",2,"No","Secundaria","Moderado","Masculino",66
14,81,"Medio","Medio","No",9,81,"Media","Si",1,"Bajo","Alta","Privada","Negativa",3,"No","Postgrado","Cerca","Femenino",66
29,61,"Medio","Alto","Si",7,52,"Baja","Si",3,"Bajo","Media","Privada","Positiva",3,"No","Universitaria","Cerca","Femenino",67
15,78,"Alto","Alto","No",9,75,"Baja","Si",1,"Bajo","Media","Publica","Negativa",1,"No","Secundaria","Cerca","Masculino",65
18,91,"Bajo","Medio","Si",5,76,"Media","Si",1,"Medio","Media","Publica","Neutral",3,"No","Secundaria","Cerca","Femenino",68
25,87,"Medio","Bajo","No",9,52,"Alta","Si",1,"Bajo","Alta","Privada","Positiva",2,"No","Secundaria","Cerca","Masculino",68
13,85,"Alto","Medio","No",6,89,"Media","Si",0,"Alto","Media","Privada","Neutral",1,"Si","Secundaria","Cerca","Masculino",65
21,96,"Medio","Medio","No",8,64,"Alta","Si",2,"Medio","Alta","Publica","Neutral",0,"No","Universitaria","Cerca","Masculino",71
28,61,"Medio","Alto","No",6,86,"Alta","Si",1,"Bajo","Media","Privada","Negativa",3,"Si","Postgrado","Lejos","Masculino",65
10,82,"Medio","Bajo","No",8,70,"Media","Si",3,"Bajo","Alta","Publica","Positiva",1,"Si","Postgrado","Cerca","Femenino",64
21,91,"Alto","Medio","No",6,100,"Media","Si",0,"Alto","Media","Privada","Neutral",2,"No","Postgrado","Cerca","Femenino",72
22,82,"Medio","Medio","No",9,61,"Media","Si",2,"Bajo","Media","Publica","Negativa",2,"Si","Secundaria","Cerca","Femenino",65
25,73,"Medio","Alto","No",8,53,"Alta","No",0,"Bajo","Alta","Privada","Negativa",5,"No","Postgrado","Cerca","Femenino",66
13,65,"Bajo","Alto","No",6,99,"Media","Si",0,"Bajo","Media","Privada","Negativa",4,"No","Secundaria","Cerca","Masculino",61
12,96,"Bajo","Alto","Si",8,62,"Media","Si",2,"Medio","Alta","Publica","Negativa",3,"No","Universitaria","Cerca","Femenino",68
23,79,"Alto","Alto","Si",8,82,"Baja","Si",3,"Medio","Media","Publica","Negativa",3,"Si","Postgrado","Moderado","Femenino",69
22,95,"Medio","Alto","Si",6,69,"Media","Si",1,"Bajo","Media","Publica","Positiva",3,"No","Universitaria","Cerca","Femenino",72
22,83,"Medio","Alto","Si",5,82,"Media","Si",2,"Bajo","Alta","Publica","Positiva",3,"No","Postgrado","Cerca","Femenino",71
22,87,"Alto","Alto","No",5,80,"Baja","Si",2,"Bajo","Alta","Publica","Negativa",3,"No","Secundaria","Cerca","Femenino",70
16,92,"Medio","Alto","Si",5,85,"Baja","Si",1,"Bajo","Media","Publica","Neutral",2,"No","Secundaria","Moderado","Masculino",68
21,86,"Bajo","Medio","Si",5,51,"Media","Si",2,"Bajo","Alta","Publica","Positiva",2,"No","Secundaria","Moderado","Femenino",67
22,76,"Medio","Medio","Si",8,92,"Media","Si",1,"Bajo","Alta","Publica","Neutral",4,"No","Secundaria","Cerca","Femenino",68
16,81,"Medio","Medio","Si",8,74,"Media","Si",3,"Medio","Media","Publica","Positiva",2,"No","Postgrado","Cerca","Femenino",68
31,92,"Medio","Medio","Si",4,76,"Media","Si",2,"Medio","Alta","Publica","Positiva",4,"Si","Secundaria","Lejos","Masculino",72
23,75,"Bajo","Alto","No",6,71,"Baja","Si",0,"Medio","Media","Publica","Neutral",2,"No","Universitaria","Cerca","Masculino",65
13,76,"Medio","Alto","No",5,99,"Baja","Si",2,"Medio","Media","Privada","Positiva",4,"No","Secundaria","Cerca","Femenino",66
24,64,"Medio","Medio","Si",8,90,"Alta","Si",0,"Bajo","Alta","Publica","Negativa",3,"No","Secundaria","Cerca","Masculino",65
14,97,"Medio","Medio","Si",6,66,"Media","Si",2,"Medio","Media","Publica","Negativa",3,"Si","Universitaria","Cerca","Femenino",67
25,64,"Medio","Alto","No",5,89,"Baja","Si",2,"Medio","Media","Publica","Neutral",4,"No","Universitaria","Lejos","Masculino",66
27,86,"Medio","Medio","No",7,72,"Baja","Si",1,"Medio","Alta","Publica","Positiva",4,"No","Secundaria","Lejos","Masculino",69
15,77,"Medio","Medio","Si",8,94,"Baja","Si",0,"Alto","Alta","Publica","Positiva",3,"No","Universitaria","Moderado","Masculino",66
26,76,"Medio","Alto","Si",6,52,"Media","Si",4,"Alto","Baja","Publica","Neutral",3,"No","Secundaria","Cerca","Masculino",69
22,87,"Alto","Bajo","Si",7,68,"Media","No",0,"Bajo","Media","Publica","Neutral",2,"No","Secundaria","Cerca","Masculino",67
25,63,"Alto","Medio","Si",6,71,"Media","Si",1,"Medio","Baja","Privada","Positiva",3,"No","Secundaria","Cerca","Masculino",66
31,84,"Medio","Medio","Si",9,87,"Media","Si",2,"Bajo","Media","Privada","Neutral",3,"No","Universitaria","Lejos","Masculino",71
19,91,"Alto","Bajo","No",6,59,"Media","Si",5,"Medio","Alta","Publica","Neutral",4,"No","Universitaria","Moderado","Masculino",70
15,93,"Alto","Medio","No",6,64,"Media","Si",2,"Medio","Alta","Publica","Positiva",4,"No","Postgrado","Cerca","Masculino",71
15,67,"Medio","Medio","Si",7,86,"Alta","Si",1,"Alto","Media","Privada","Positiva",3,"No","Postgrado","Cerca","Masculino",66
15,96,"Medio","Medio","No",7,54,"Alta","No",3,"Medio","Alta","Publica","Negativa",2,"No","Secundaria","Cerca","Masculino",67
20,86,"Alto","Bajo","No",8,60,"Media","Si",1,"Medio","Media","Publica","Neutral",4,"Si","Universitaria","Lejos","Femenino",66
22,95,"Medio","Alto","No",9,88,"Baja","Si",0,"Bajo","Alta","Publica","Positiva",2,"No","Postgrado","Cerca","Masculino",72
22,79,"Medio","Medio","No",9,94,"Media","Si",1,"Medio","Media","Publica","Positiva",3,"No","Secundaria","Cerca","Masculino",68
25,82,"Medio","Medio","No",6,86,"Media","No",3,"Bajo","Alta","Publica","Positiva",3,"No","Secundaria","Cerca","Femenino",69
20,97,"Medio","Medio","Si",7,76,"Baja","Si",2,"Bajo","Baja","Privada","Positiva",3,"No","Postgrado","Cerca","Masculino",71
29,96,"Medio","Medio","Si",9,55,"Baja","No",0,"Medio","Media","Publica","Neutral",2,"No","Postgrado","Lejos","Femenino",70
18,78,"Medio","Medio","No",9,91,"Alta","Si",2,"Alto","Baja","Publica","Neutral",4,"No","Universitaria","Lejos","Femenino",67
36,71,"Medio","Medio","Si",6,56,"Media","Si",2,"Alto","Media","Publica","Positiva",2,"No","Secundaria","Lejos","Masculino",69
24,76,"Bajo","Alto","No",8,69,"Baja","Si",2,"Medio","Media","Publica","Neutral",1,"No","Secundaria","Moderado","Masculino",65
15,76,"Alto","Alto","No",8,53,"Media","Si",1,"Bajo","Media","Publica","Neutral",4,"No","Universitaria","Cerca","Masculino",65
14,71,"Medio","Medio","Si",8,85,"Baja","Si",2,"Medio","Alta","Publica","Neutral",4,"No","Secundaria","Cerca","Masculino",64
23,71,"Bajo","Bajo","Si",9,75,"Baja","Si",1,"Bajo","Media","Publica","Negativa",2,"No","Universitaria","Cerca","Masculino",63
19,94,"Bajo","Medio","Si",5,95,"Media","Si",3,"Bajo","Baja","Publica","Positiva",2,"No","Secundaria","Moderado","Masculino",69
24,63,"Medio","Bajo","Si",6,57,"Media","Si",1,"Bajo","Alta","Privada","Neutral",5,"No","Universitaria","Cerca","Femenino",64
23,87,"Alto","Alto","Si",8,91,"Alta","Si",0,"Alto","Media","Privada","Positiva",3,"No","Secundaria","Moderado","Masculino",72
20,67,"Bajo","Medio","Si",7,76,"Media","Si",0,"Medio","Media","Publica","Neutral",4,"No","Secundaria","Cerca","Masculino",63
15,74,"Bajo","Alto","Si",4,68,"Baja","Si",3,"Bajo","Media","Publica","Positiva",3,"No","Secundaria","Cerca","Femenino",64
11,62,"Medio","Alto","Si",5,82,"Media","Si",3,"Alto","Media","Privada","Neutral",4,"No","Universitaria","Moderado","Masculino",64
17,71,"Medio","Medio","Si",8,90,"Media","Si",5,"Medio","Media","Publica","Positiva",1,"No","Postgrado","Lejos","Masculino",67
25,91,"Medio","Medio","No",8,72,"Baja","Si",2,"Medio","Alta","Publica","Positiva",0,"No","Postgrado","Cerca","Masculino",71
21,95,"Medio","Medio","No",5,62,"Alta","Si",1,"Medio","Baja","Publica","Positiva",4,"No","Secundaria","Cerca","Masculino",70
