"Horas_Estudio","Asistencia","Acceso_Recursos","Actividades_Extracurriculares","Horas_Sueno","Puntuaciones_Previas","Acceso_Internet","Sesiones_Tutoria","Ingresos_Familiares","Influencia_Companeros","Actividad_Fisica","Discapacidades_Aprendizaje","Nivel_Educativo_Padres","Distancia_Hogar","Sexo","Puntuacion_Examen","Sesiones_Tutoria_log","Asistencia_log","Asistencia_sqrt","Asistencia_boxcox","Nivel_Motivacion_Media","Nivel_Motivacion_Alta","Involucramiento_Parental_Medio","Involucramiento_Parental_Alto","Calidad_Profesor_Media","Calidad_Profesor_Alta","Tipo_Escuela_Privada"
17,80,"Alto","No",8,88,"No",4,"Medio","Neutral",4,"No","Universitaria","Moderado","Masculino",68,1.6094379124341,4.39444915467244,8.94427190999916,29.2662386722107,1,0,0,0,0,1,1
17,97,"Alto","Si",6,87,"Si",2,"Bajo","Neutral",2,"No","Secundaria","Cerca","Masculino",71,1.09861228866811,4.58496747867057,9.8488578017961,33.6985186145644,0,0,1,0,0,1,1
21,83,"Medio","Si",8,97,"Si",2,"Medio","Positiva",4,"No","Secundaria","Cerca","Masculino",70,1.09861228866811,4.43081679884331,9.1104335791443,30.0675172565702,0,0,1,0,1,0,0
9,82,"Medio","Si",8,72,"Si",2,"Medio","Positiva",3,"No","Postgrado","Cerca","Masculino",66,1.09861228866811,4.4188406077966,9.05538513813742,29.8014050155455,1,0,1,0,1,0,1
10,78,"Alto","Si",8,74,"Si",1,"Bajo","Neutral",4,"No","Postgrado","Cerca","Masculino",65,0.693147180559945,4.36944785246702,8.83176086632785,28.7270430074796,1,0,1,0,1,0,1
17,68,"Medio","No",8,70,"Si",2,"Medio","Positiva",4,"No","Secundaria","Cerca","Femenino",64,1.09861228866811,4.23410650459726,8.24621125123532,25.9656018732522,1,0,1,0,1,0,1
14,60,"Bajo","Si",10,65,"Si",0,"Alto","Positiva",3,"No","Universitaria","Cerca","Masculino",60,0,4.11087386417331,7.74596669241483,23.6676209733059,0,0,1,0,1,0,1
22,70,"Medio","Si",6,82,"Si",1,"Bajo","Neutral",3,"No","Secundaria","Cerca","Femenino",65,0.693147180559945,4.26267987704132,8.36660026534076,26.5271425203459,1,0,0,0,0,1,0
15,80,"Medio","Si",9,91,"Si",3,"Bajo","Positiva",2,"No","Universitaria","Moderado","Femenino",67,1.38629436111989,4.39444915467244,8.94427190999916,29.2662386722107,0,0,1,0,1,0,0
12,75,"Alto","Si",7,58,"Si",3,"Medio","Positiva",4,"No","Universitaria","Cerca","Masculino",66,1.38629436111989,4.33073334028633,8.66025403784439,27.9103973090706,1,0,1,0,1,0,1
29,78,"Medio","No",5,99,"Si",0,"Alto","Negativa",1,"No","Secundaria","Moderado","Femenino",69,0,4.36944785246702,8.83176086632785,28.7270430074796,0,1,1,0,1,0,0
19,99,"Alto","No",6,84,"Si",1,"Medio","Neutral",3,"No","Secundaria","Cerca","Masculino",72,0.693147180559945,4.60517018598809,9.9498743710662,34.2039533818444,1,0,1,0,0,1,0
20,74,"Alto","No",8,89,"Si",1,"Medio","Negativa",2,"No","Universitaria","Moderado","Femenino",66,0.693147180559945,4.31748811353631,8.60232526704263,27.6360160846992,0,0,1,0,1,0,0
11,78,"Medio","Si",8,100,"Si",1,"Bajo","Neutral",3,"No","Secundaria","Moderado","Masculino",66,0.693147180559945,4.36944785246702,8.83176086632785,28.7270430074796,0,1,0,1,1,0,0
17,65,"Alto","Si",5,75,"Si",2,"Bajo","Positiva",3,"No","Secundaria","Cerca","Femenino",63,1.09861228866811,4.18965474202643,8.06225774829855,25.1138970113555,1,0,0,0,1,0,0
21,62,"Bajo","Si",6,54,"Si",0,"Alto","Positiva",3,"No","Postgrado","Lejos","Masculino",64,0,4.14313472639153,7.87400787401181,24.2503124054604,0,1,0,1,0,1,0
13,91,"Medio","No",6,90,"Si",1,"Alto","Negativa",2,"Si","Secundaria","Moderado","Femenino",65,0.693147180559945,4.52178857704904,9.53939201416946,32.1630474763355,1,0,0,0,1,0,0
22,83,"Alto","Si",6,94,"Si",0,"Alto","Neutral",2,"No","Universitaria","Moderado","Masculino",71,0,4.43081679884331,9.1104335791443,30.0675172565702,1,0,0,1,1,0,0
16,90,"Medio","No",4,58,"Si",1,"Bajo","Neutral",3,"No","Secundaria","Moderado","Femenino",66,0.693147180559945,4.51085950651685,9.48683298050514,31.9042224374586,1,0,1,0,1,0,0
18,66,"Alto","No",4,51,"Si",2,"Bajo","Neutral",2,"No","Universitaria","Cerca","Masculino",64,1.09861228866811,4.20469261939097,8.12403840463596,25.3990837029176,0,0,0,1,1,0,1
16,83,"Medio","No",6,57,"Si",0,"Alto","Positiva",4,"Si","Secundaria","Cerca","Femenino",63,0,4.43081679884331,9.1104335791443,30.0675172565702,1,0,0,0,0,0,0
31,70,"Alto","Si",7,66,"Si",1,"Alto","Negativa",3,"No","Universitaria","Cerca","Masculino",69,0.693147180559945,4.26267987704132,8.36660026534076,26.5271425203459,1,0,1,0,1,0,0
20,69,"Medio","Si",8,96,"Si",2,"Medio","Positiva",3,"No","Secundaria","Cerca","Masculino",67,1.09861228866811,4.24849524204936,8.30662386291807,26.2469825906804,1,0,1,0,0,1,0
25,65,"Medio","No",5,90,"Si",2,"Medio","Positiva",3,"No","Universitaria","Moderado","Femenino",68,1.09861228866811,4.18965474202643,8.06225774829855,25.1138970113555,1,0,0,1,1,0,0
13,72,"Medio","No",6,93,"Si",1,"Bajo","Negativa",3,"No","Secundaria","Cerca","Masculino",61,0.693147180559945,4.29045944114839,8.48528137423857,27.0838897841752,0,0,0,0,1,0,0
21,65,"Bajo","Si",7,91,"Si",2,"Medio","Positiva",3,"No","Secundaria","Lejos","Femenino",64,1.09861228866811,4.18965474202643,8.06225774829855,25.1138970113555,0,0,1,0,0,1,0
8,99,"Medio","No",9,54,"Si",2,"Bajo","Neutral",5,"No","Postgrado","Cerca","Femenino",67,1.09861228866811,4.60517018598809,9.9498743710662,34.2039533818444,0,0,1,0,1,0,0
12,72,"Medio","Si",8,84,"Si",1,"Bajo","Positiva",5,"No","Secundaria","Cerca","Femenino",63,0.693147180559945,4.29045944114839,8.48528137423857,27.0838897841752,1,0,0,0,1,0,0
21,65,"Medio","Si",6,98,"Si",1,"Medio","Negativa",4,"No","Secundaria","Cerca","Masculino",64,0.693147180559945,4.18965474202643,8.06225774829855,25.1138970113555,0,0,0,0,0,1,0
24,68,"Medio","No",8,56,"Si",3,"Alto","Neutral",1,"No","Universitaria","Cerca","Masculino",67,1.38629436111989,4.23410650459726,8.24621125123532,25.9656018732522,0,0,0,1,0,1,0
21,84,"Medio","Si",6,52,"Si",1,"Medio","Neutral",2,"Si","Universitaria","Lejos","Femenino",65,0.693147180559945,4.44265125649032,9.16515138991168,30.3326693556488,0,0,1,0,0,1,0
19,63,"Alto","No",7,94,"Si",1,"Medio","Positiva",3,"No","Secundaria","Moderado","Masculino",64,0.693147180559945,4.15888308335967,7.93725393319377,24.5395387185845,1,0,0,0,1,0,1
18,94,"Alto","Si",7,82,"Si",3,"Medio","Negativa",2,"Si","Universitaria","Cerca","Masculino",70,1.38629436111989,4.55387689160054,9.69535971483266,32.9344590650483,1,0,1,0,1,0,1
11,98,"Medio","Si",9,82,"Si",1,"Medio","Positiva",3,"No","Postgrado","Lejos","Masculino",68,0.693147180559945,4.59511985013459,9.89949493661167,33.9516228179442,0,0,1,0,1,0,1
16,70,"Medio","Si",8,98,"Si",2,"Medio","Positiva",3,"No","Secundaria","Moderado","Masculino",65,1.09861228866811,4.26267987704132,8.36660026534076,26.5271425203459,1,0,1,0,1,0,0
17,78,"Medio","Si",6,88,"Si",1,"Medio","Positiva",3,"No","Universitaria","Cerca","Femenino",68,0.693147180559945,4.36944785246702,8.83176086632785,28.7270430074796,1,0,1,0,0,1,1
26,61,"Bajo","Si",6,70,"Si",2,"Bajo","Positiva",3,"No","Secundaria","Moderado","Femenino",64,1.09861228866811,4.12713438504509,7.81024967590665,23.959683148738,1,0,1,0,1,0,0
22,86,"Medio","Si",7,72,"Si",3,"Bajo","Positiva",2,"No","Secundaria","Moderado","Masculino",68,1.38629436111989,4.46590811865458,9.2736184954957,30.8601520614316,0,0,0,0,0,1,0
9,77,"Medio","No",5,57,"Si",2,"Medio","Neutral",3,"No","Secundaria","Cerca","Masculino",63,1.09861228866811,4.35670882668959,8.77496438739212,28.4558923484917,1,0,1,0,0,1,0
22,71,"Medio","Si",7,65,"Si",1,"Medio","Positiva",4,"No","Universitaria","Moderado","Masculino",64,0.693147180559945,4.27666611901606,8.42614977317636,26.8061042870553,0,0,0,0,0,0,0
18,68,"Medio","No",7,72,"Si",0,"Medio","Neutral",3,"No","Universitaria","Cerca","Masculino",64,0,4.23410650459726,8.24621125123532,25.9656018732522,1,0,0,1,1,0,0
16,86,"Medio","Si",8,63,"Si",2,"Medio","Positiva",4,"No","Secundaria","Cerca","Masculino",67,1.09861228866811,4.46590811865458,9.2736184954957,30.8601520614316,1,0,0,0,1,0,0
24,77,"Bajo","No",8,96,"Si",0,"Medio","Neutral",3,"No","Secundaria","Cerca","Femenino",67,0,4.35670882668959,8.77496438739212,28.4558923484917,1,0,0,1,1,0,0
26,67,"Alto","Si",7,51,"Si",2,"Alto","Neutral",4,"Si","Postgrado","Lejos","Femenino",66,1.09861228866811,4.21950770517611,8.18535277187245,25.6829769762357,0,0,1,0,0,1,1
26,88,"Alto","Si",5,79,"Si",1,"Bajo","Positiva",4,"No","Universitaria","Moderado","Masculino",72,0.693147180559945,4.48863636973214,9.38083151964686,31.3839670841923,1,0,1,0,0,1,1
15,83,"Alto","No",5,89,"No",1,"Medio","Neutral",2,"Si","Secundaria","Cerca","Femenino",65,0.693147180559945,4.43081679884331,9.1104335791443,30.0675172565702,0,0,1,0,0,1,0
18,94,"Medio","Si",6,87,"Si",1,"Medio","Positiva",4,"No","Secundaria","Cerca","Masculino",71,0.693147180559945,4.55387689160054,9.69535971483266,32.9344590650483,0,1,1,0,1,0,0
22,65,"Bajo","No",8,82,"Si",2,"Medio","Positiva",1,"No","Postgrado","Cerca","Femenino",66,1.09861228866811,4.18965474202643,8.06225774829855,25.1138970113555,1,0,0,1,0,1,0
26,91,"Bajo","Si",8,71,"Si",0,"Bajo","Neutral",3,"No","Secundaria","Moderado","Masculino",68,0,4.52178857704904,9.53939201416946,32.1630474763355,1,0,1,0,1,0,1
17,87,"Medio","No",7,96,"Si",1,"Alto","Negativa",5,"No","Postgrado","Cerca","Femenino",70,0.693147180559945,4.47733681447821,9.32737905308882,31.1225111484748,1,0,1,0,1,0,0
19,65,"Medio","Si",10,66,"Si",0,"Bajo","Positiva",3,"No","Secundaria","Moderado","Masculino",62,0,4.18965474202643,8.06225774829855,25.1138970113555,0,0,1,0,1,0,0
13,88,"Alto","Si",9,88,"Si",2,"Bajo","Negativa",4,"No","Postgrado","Lejos","Masculino",68,1.09861228866811,4.48863636973214,9.38083151964686,31.3839670841923,0,1,0,0,0,1,1
13,78,"Alto","Si",9,96,"Si",2,"Bajo","Neutral",3,"No","Universitaria","Moderado","Masculino",67,1.09861228866811,4.36944785246702,8.83176086632785,28.7270430074796,0,1,1,0,1,0,0
25,98,"Alto","Si",8,56,"No",0,"Medio","Neutral",3,"No","Postgrado","Cerca","Masculino",71,0,4.59511985013459,9.89949493661167,33.9516228179442,1,0,0,0,0,1,1
28,66,"Alto","Si",8,97,"Si",0,"Medio","Neutral",2,"No","Secundaria","Cerca","Masculino",68,0,4.20469261939097,8.12403840463596,25.3990837029176,1,0,1,0,1,0,0
20,86,"Medio","Si",8,89,"Si",1,"Bajo","Negativa",3,"No","Postgrado","Cerca","Masculino",69,0.693147180559945,4.46590811865458,9.2736184954957,30.8601520614316,1,0,1,0,1,0,0
26,75,"Alto","Si",4,81,"Si",3,"Medio","Positiva",2,"No","Secundaria","Moderado","Masculino",70,1.38629436111989,4.33073334028633,8.66025403784439,27.9103973090706,0,1,0,0,0,1,1
22,98,"Alto","No",5,69,"No",1,"Bajo","Negativa",4,"No","Secundaria","Moderado","Femenino",69,0.693147180559945,4.59511985013459,9.89949493661167,33.9516228179442,0,0,1,0,0,1,0
16,73,"Medio","No",7,95,"Si",1,"Bajo","Negativa",4,"No","Universitaria","Cerca","Masculino",65,0.693147180559945,4.30406509320417,8.54400374531753,27.3605202070912,1,0,1,0,1,0,0
22,98,"Bajo","Si",7,52,"No",3,"Medio","Positiva",3,"No","Universitaria","Cerca","Femenino",70,1.38629436111989,4.59511985013459,9.89949493661167,33.9516228179442,1,0,1,0,1,0,0
29,96,"Bajo","Si",7,72,"Si",1,"Bajo","Positiva",3,"No","Secundaria","Moderado","Masculino",71,0.693147180559945,4.57471097850338,9.79795897113271,33.4446303869241,1,0,1,0,1,0,0
20,71,"Medio","Si",7,88,"Si",1,"Bajo","Neutral",4,"No","Universitaria","Cerca","Femenino",65,0.693147180559945,4.27666611901606,8.42614977317636,26.8061042870553,1,0,1,0,0,0,0
29,92,"Medio","No",4,91,"Si",2,"Medio","Negativa",1,"No","Postgrado","Cerca","Femenino",72,1.09861228866811,4.53259949315326,9.59166304662544,32.4210206311119,1,0,0,0,1,0,0
4,100,"Alto","Si",8,60,"Si",0,"Medio","Positiva",4,"No","Universitaria","Moderado","Masculino",69,0,4.61512051684126,10,34.4555204501369,0,1,0,1,0,1,1
25,70,"Medio","No",7,52,"Si",1,"Medio","Positiva",3,"No","Postgrado","Cerca","Femenino",66,0.693147180559945,4.26267987704132,8.36660026534076,26.5271425203459,1,0,1,0,1,0,0
21,77,"Medio","Si",7,90,"Si",4,"Medio","Neutral",3,"No","Postgrado","Moderado","Masculino",68,1.6094379124341,4.35670882668959,8.77496438739212,28.4558923484917,1,0,0,0,1,0,1
18,81,"Bajo","Si",8,71,"Si",0,"Medio","Neutral",3,"No","Secundaria","Moderado","Femenino",65,0,4.40671924726425,9,29.5343173821803,1,0,0,1,1,0,0
21,72,"Medio","Si",5,57,"Si",1,"Alto","Neutral",5,"Si","Universitaria","Moderado","Masculino",64,0.693147180559945,4.29045944114839,8.48528137423857,27.0838897841752,1,0,1,0,1,0,0
8,61,"Medio","Si",7,54,"Si",1,"Alto","Positiva",3,"No","Universitaria","Cerca","Masculino",60,0.693147180559945,4.12713438504509,7.81024967590665,23.959683148738,1,0,1,0,1,0,0
19,69,"Alto","Si",7,82,"Si",1,"Bajo","Negativa",2,"No","Secundaria","Cerca","Masculino",65,0.693147180559945,4.24849524204936,8.30662386291807,26.2469825906804,0,1,1,0,1,0,0
22,71,"Medio","No",6,79,"Si",1,"Bajo","Positiva",3,"No","Secundaria","Cerca","Masculino",66,0.693147180559945,4.27666611901606,8.42614977317636,26.8061042870553,0,1,0,1,0,0,0
29,78,"Alto","Si",4,93,"Si",5,"Medio","Neutral",3,"No","Universitaria","Cerca","Masculino",74,1.79175946922805,4.36944785246702,8.83176086632785,28.7270430074796,0,0,0,1,0,1,0
17,67,"Medio","Si",5,52,"Si",2,"Medio","Negativa",3,"No","Secundaria","Lejos","Femenino",62,1.09861228866811,4.21950770517611,8.18535277187245,25.6829769762357,0,1,1,0,1,0,1
15,95,"Medio","No",7,93,"Si",2,"Bajo","Positiva",4,"No","Universitaria","Moderado","Masculino",70,1.09861228866811,4.56434819146784,9.74679434480896,33.1899475010386,1,0,1,0,1,0,0
17,88,"Alto","Si",7,94,"Si",0,"Medio","Neutral",3,"No","Secundaria","Cerca","Masculino",69,0,4.48863636973214,9.38083151964686,31.3839670841923,0,0,1,0,1,0,0
25,63,"Alto","Si",7,72,"Si",3,"Medio","Negativa",4,"No","Universitaria","Lejos","Masculino",67,1.38629436111989,4.15888308335967,7.93725393319377,24.5395387185845,1,0,1,0,0,1,1
22,86,"Bajo","No",6,54,"Si",2,"Medio","Neutral",0,"No","Secundaria","Moderado","Masculino",64,1.09861228866811,4.46590811865458,9.2736184954957,30.8601520614316,1,0,0,0,1,0,0
17,86,"Alto","No",5,97,"Si",3,"Alto","Neutral",3,"No","Universitaria","Cerca","Masculino",71,1.38629436111989,4.46590811865458,9.2736184954957,30.8601520614316,0,1,1,0,1,0,0
23,98,"Bajo","Si",7,54,"Si",0,"Medio","Negativa",3,"No","Universitaria","Cerca","Femenino",68,0,4.59511985013459,9.89949493661167,33.9516228179442,0,0,1,0,1,0,0
21,60,"Medio","No",7,80,"Si",0,"Medio","Neutral",4,"Si","Universitaria","Cerca","Masculino",64,0,4.11087386417331,7.74596669241483,23.6676209733059,1,0,0,1,0,1,0
26,70,"Bajo","Si",8,75,"Si",1,"Medio","Neutral",4,"Si","Secundaria","Lejos","Femenino",63,0.693147180559945,4.26267987704132,8.36660026534076,26.5271425203459,1,0,1,0,0,0,1
16,97,"Medio","Si",6,92,"Si",0,"Alto","Positiva",4,"No","Universitaria","Cerca","Masculino",71,0,4.58496747867057,9.8488578017961,33.6985186145644,0,0,1,0,1,0,1
18,97,"Medio","Si",4,75,"Si",0,"Bajo","Positiva",3,"No","Secundaria","Moderado","Masculino",69,0,4.58496747867057,9.8488578017961,33.6985186145644,0,0,0,1,1,0,0
18,89,"Medio","Si",4,73,"Si",3,"Alto","Positiva",2,"No","Universitaria","Cerca","Femenino",100,1.38629436111989,4.49980967033027,9.4339811320566,31.6445331884519,1,0,0,1,1,0,1
11,91,"Medio","No",6,94,"Si",3,"Medio","Neutral",3,"No","Universitaria","Moderado","Masculino",68,1.38629436111989,4.52178857704904,9.53939201416946,32.1630474763355,1,0,1,0,1,0,0
22,64,"Medio","No",7,98,"No",1,"Medio","Negativa",3,"No","Secundaria","Cerca","Masculino",62,0.693147180559945,4.17438726989564,8,24.8273909713608,0,0,0,0,1,0,0
22,81,"Medio","Si",7,77,"Si",2,"Medio","Positiva",3,"No","Postgrado","Lejos","Femenino",68,1.09861228866811,4.40671924726425,9,29.5343173821803,0,0,1,0,1,0,0
20,69,"Alto","Si",6,73,"Si",2,"Bajo","Positiva",3,"No","Secundaria","Lejos","Masculino",66,1.09861228866811,4.24849524204936,8.30662386291807,26.2469825906804,1,0,0,1,1,0,1
19,67,"Medio","No",5,92,"Si",0,"Medio","Positiva",3,"No","Universitaria","Cerca","Masculino",64,0,4.21950770517611,8.18535277187245,25.6829769762357,0,1,0,0,1,0,0
12,92,"Medio","No",4,92,"Si",2,"Medio","Neutral",3,"Si","Secundaria","Moderado","Masculino",67,1.09861228866811,4.53259949315326,9.59166304662544,32.4210206311119,0,1,1,0,0,1,0
17,65,"Alto","Si",8,66,"Si",1,"Alto","Neutral",4,"Si","Postgrado","Moderado","Femenino",65,0.693147180559945,4.18965474202643,8.06225774829855,25.1138970113555,1,0,1,0,0,1,0
18,79,"Medio","Si",7,79,"Si",0,"Bajo","Neutral",3,"No","Universitaria","Lejos","Masculino",65,0,4.38202663467388,8.88819441731559,28.9971527495702,1,0,1,0,0,1,1
15,98,"Medio","No",6,58,"Si",0,"Bajo","Positiva",3,"No","Universitaria","Cerca","Masculino",69,0,4.59511985013459,9.89949493661167,33.9516228179442,0,1,0,1,0,1,0
19,67,"Medio","No",5,82,"Si",1,"Bajo","Negativa",3,"No","Secundaria","Cerca","Masculino",63,0.693147180559945,4.21950770517611,8.18535277187245,25.6829769762357,0,1,1,0,0,0,1
22,99,"Bajo","Si",6,92,"Si",3,"Medio","Negativa",4,"No","Postgrado","Moderado","Masculino",72,1.38629436111989,4.60517018598809,9.9498743710662,34.2039533818444,0,0,1,0,1,0,0
31,100,"Medio","No",7,59,"Si",2,"Alto","Positiva",5,"No","Postgrado","Moderado","Masculino",76,1.09861228866811,4.61512051684126,10,34.4555204501369,1,0,1,0,0,1,0
21,82,"Alto","Si",7,66,"Si",3,"Bajo","Positiva",3,"Si","Universitaria","Cerca","Femenino",69,1.38629436111989,4.4188406077966,9.05538513813742,29.8014050155455,0,1,1,0,1,0,0
22,67,"Medio","Si",7,72,"Si",3,"Bajo","Positiva",2,"No","Postgrado","Moderado","Femenino",67,1.38629436111989,4.21950770517611,8.18535277187245,25.6829769762357,0,1,1,0,0,1,0
20,73,"Medio","Si",9,92,"Si",2,"Medio","Positiva",3,"No","Universitaria","Cerca","Masculino",69,1.09861228866811,4.30406509320417,8.54400374531753,27.3605202070912,1,0,0,1,0,1,0
8,77,"Medio","Si",6,87,"Si",0,"Bajo","Neutral",2,"No","Secundaria","Moderado","Masculino",63,0,4.35670882668959,8.77496438739212,28.4558923484917,1,0,0,1,1,0,0
20,72,"Medio","No",9,66,"Si",3,"Bajo","Positiva",3,"No","Postgrado","Cerca","Masculino",67,1.38629436111989,4.29045944114839,8.48528137423857,27.0838897841752,1,0,1,0,0,1,1
20,71,"Alto","Si",7,62,"Si",2,"Medio","Negativa",5,"No","Universitaria","Cerca","Masculino",66,1.09861228866811,4.27666611901606,8.42614977317636,26.8061042870553,0,1,0,0,1,0,0
35,99,"Alto","Si",7,85,"Si",2,"Medio","Neutral",2,"No","Postgrado","Cerca","Femenino",79,1.09861228866811,4.60517018598809,9.9498743710662,34.2039533818444,0,0,0,1,0,1,1
19,66,"Medio","No",8,74,"Si",1,"Alto","Neutral",3,"No","Secundaria","Cerca","Femenino",64,0.693147180559945,4.20469261939097,8.12403840463596,25.3990837029176,1,0,1,0,1,0,0
22,89,"Alto","Si",6,80,"Si",1,"Alto","Positiva",3,"No","Secundaria","Cerca","Femenino",73,0.693147180559945,4.49980967033027,9.4339811320566,31.6445331884519,1,0,0,1,0,1,0
20,60,"Alto","No",7,82,"Si",2,"Bajo","Positiva",4,"Si","Secundaria","Cerca","Masculino",63,1.09861228866811,4.11087386417331,7.74596669241483,23.6676209733059,0,1,0,0,0,1,0
13,84,"Medio","No",5,78,"Si",1,"Bajo","Positiva",2,"No","Secundaria","Cerca","Masculino",65,0.693147180559945,4.44265125649032,9.16515138991168,30.3326693556488,1,0,1,0,0,1,0
27,97,"Alto","Si",8,81,"Si",0,"Alto","Positiva",5,"No","Secundaria","Cerca","Femenino",73,0,4.58496747867057,9.8488578017961,33.6985186145644,1,0,0,0,1,0,0
25,72,"Alto","Si",8,94,"Si",2,"Bajo","Positiva",4,"No","Universitaria","Moderado","Femenino",70,1.09861228866811,4.29045944114839,8.48528137423857,27.0838897841752,0,0,0,1,1,0,1
25,67,"Medio","No",9,93,"Si",2,"Bajo","Positiva",3,"Si","Secundaria","Cerca","Femenino",68,1.09861228866811,4.21950770517611,8.18535277187245,25.6829769762357,0,1,0,1,0,1,0
15,86,"Medio","Si",7,57,"Si",1,"Medio","Negativa",3,"No","Universitaria","Cerca","Masculino",65,0.693147180559945,4.46590811865458,9.2736184954957,30.8601520614316,1,0,1,0,1,0,0
28,89,"Alto","Si",9,79,"Si",0,"Bajo","Positiva",1,"No","Universitaria","Moderado","Femenino",71,0,4.49980967033027,9.4339811320566,31.6445331884519,0,1,0,0,1,0,1
12,88,"Medio","No",6,72,"Si",2,"Medio","Positiva",2,"No","Universitaria","Lejos","Masculino",64,1.09861228866811,4.48863636973214,9.38083151964686,31.3839670841923,0,0,0,0,1,0,0
24,73,"Alto","Si",8,64,"Si",4,"Alto","Neutral",3,"Si","Universitaria","Moderado","Masculino",68,1.6094379124341,4.30406509320417,8.54400374531753,27.3605202070912,1,0,1,0,1,0,1
33,70,"Medio","Si",6,82,"Si",1,"Bajo","Neutral",4,"No","Universitaria","Cerca","Masculino",69,0.693147180559945,4.26267987704132,8.36660026534076,26.5271425203459,0,0,1,0,0,1,0
14,98,"Medio","No",7,76,"Si",0,"Medio","Positiva",4,"No","Universitaria","Moderado","Femenino",69,0,4.59511985013459,9.89949493661167,33.9516228179442,1,0,1,0,0,1,1
21,78,"Medio","Si",10,55,"Si",1,"Alto","Positiva",2,"No","Universitaria","Cerca","Masculino",67,0.693147180559945,4.36944785246702,8.83176086632785,28.7270430074796,1,0,1,0,0,0,1
17,94,"Medio","Si",8,65,"Si",4,"Medio","Neutral",6,"No","Secundaria","Lejos","Femenino",68,1.6094379124341,4.55387689160054,9.69535971483266,32.9344590650483,0,0,0,0,1,0,0
11,78,"Alto","Si",8,51,"Si",2,"Bajo","Neutral",3,"No","Postgrado","Cerca","Masculino",64,1.09861228866811,4.36944785246702,8.83176086632785,28.7270430074796,1,0,1,0,1,0,0
20,77,"Medio","No",6,87,"Si",0,"Bajo","Positiva",4,"No","Secundaria","Cerca","Femenino",66,0,4.35670882668959,8.77496438739212,28.4558923484917,0,0,1,0,0,1,0
14,66,"Bajo","No",7,96,"Si",3,"Bajo","Negativa",3,"No","Secundaria","Cerca","Masculino",63,1.38629436111989,4.20469261939097,8.12403840463596,25.3990837029176,1,0,0,1,0,1,0
23,77,"Medio","Si",7,79,"Si",0,"Bajo","Neutral",2,"No","Secundaria","Moderado","Masculino",66,0,4.35670882668959,8.77496438739212,28.4558923484917,1,0,1,0,0,1,0
14,81,"Medio","No",9,81,"Si",1,"Bajo","Negativa",3,"No","Postgrado","Cerca","Femenino",66,0.693147180559945,4.40671924726425,9,29.5343173821803,1,0,1,0,0,1,1
29,61,"Alto","Si",7,52,"Si",3,"Bajo","Positiva",3,"No","Universitaria","Cerca","Femenino",67,1.38629436111989,4.12713438504509,7.81024967590665,23.959683148738,0,0,1,0,1,0,1
